user_id,created_at,updated_on,hp_user_id,username,user_profile_url,user_blocked,post_id,hp_post_id,post_datetime,post_url,post_summary,post_tags,post_full,me_too
7442,2022-11-07 02:23:18,2022-11-07 10:57:17,3543027,_Cheese_,https://h30434.www3.hp.com/t5/user/viewprofilepage/user-id/3543027,0,8066,7329911,2019-12-05 15:41:00,,,null,"

My Laptop is a year and a month old now.My laptops hinges are broken. I can hear the cracking sounds of plastic inside body and the P0 phillips broad head screws have started to fall apart. I am afraid closing the laptop lid is going to harm even more. The laptop has never had any kind of physical incidents so it safe to keep it out of the equation.I see this is a common problem for this model occurring anytime after 10 months of it usage.   What is the suggested response to this ? Since this is clearly NOT because of my mis-handling of the laptop. My case is very similar to this post : https://h30434.www3.hp.com/t5/Notebook-Video-Display-and-Touch/HP-Pavillion-Gaming-PC-Hinge-broke-af...

","[{""username"": ""Pls-help1"", ""hp_user_id"": ""3579563"", ""post_datetime"": ""2020-01-11""}, {""username"": ""emerygadjuster"", ""hp_user_id"": ""3591759"", ""post_datetime"": ""2020-01-23""}, {""username"": ""Emilythomas1103"", ""hp_user_id"": ""3620688"", ""post_datetime"": ""2020-02-24""}, {""username"": ""Syahmi619"", ""hp_user_id"": ""3681396"", ""post_datetime"": ""2020-04-17""}, {""username"": ""Trivitik"", ""hp_user_id"": ""3686226"", ""post_datetime"": ""2020-04-20""}, {""username"": ""Brdom"", ""hp_user_id"": ""3695533"", ""post_datetime"": ""2020-04-26""}, {""username"": ""perzxna"", ""hp_user_id"": ""3702532"", ""post_datetime"": ""2020-04-30""}, {""username"": ""dalivida"", ""hp_user_id"": ""3734669"", ""post_datetime"": ""2020-05-27""}, {""username"": ""Locojoro"", ""hp_user_id"": ""3739717"", ""post_datetime"": ""2020-06-03""}, {""username"": ""VictorioLopes"", ""hp_user_id"": ""3750158"", ""post_datetime"": ""2020-06-13""}, {""username"": ""Candy_04"", ""hp_user_id"": ""3756351"", ""post_datetime"": ""2020-07-21""}, {""username"": ""TheKarateKid44"", ""hp_user_id"": ""3784445"", ""post_datetime"": ""2020-07-15""}, {""username"": ""jmaieroni"", ""hp_user_id"": ""3792061"", ""post_datetime"": ""2020-07-22""}]"
735,2022-11-05 23:09:14,2023-03-30 03:20:10,5074674,_DM-39_,https://h30434.www3.hp.com/t5/user/viewprofilepage/user-id/5074674,0,735,8372764,2022-05-05 01:24:00,https://h30434.www3.hp.com/t5/Notebook-Video-Display-and-Touch/Broken-Hinge-caused-screen-to-crack/m-p/8372764?search-action-id=582346631627&search-result-uid=8372764,Hi have an almost identical issue to another recent poster:    https://h30434.www3.hp.com/t5/Notebook-Video-Display-and-Touch/Broken-Hinge-caused-screen-to-crack/m-p/8357224#M246291    and    h...,"[""HP ENVY x360 Laptop - 13-ay0008ur"", ""Microsoft Windows 10 (64-bit)""]",Hi have an almost identical issue to another recent poster:  https://h30434.www3.hp.com/t5/Notebook-Video-Display-and-Touch/Broken-Hinge-caused-screen-to-crack/m-p/8357224#M246291  and  https://h...,
1064,2022-11-05 23:09:59,2022-11-21 16:31:43,3440414,_Envy360,https://h30434.www3.hp.com/t5/user/viewprofilepage/user-id/3440414,0,1064,7317216,2019-11-24 17:31:00,https://h30434.www3.hp.com/t5/Notebook-Video-Display-and-Touch/Broken-Left-Hinge/m-p/7317216?search-action-id=582346755984&search-result-uid=7317216,"Hello,     This morning, I opened my laptop like I normally would do, but this time, I heard a crack-like sound. I immediately turned to the sound and saw that the left hinge of the laptop was broken...","[""HP Envy x360"", ""Microsoft Windows 10 (64-bit)""]","Hello,     This morning, I opened my laptop like I normally would do, but this time, I heard a crack-like sound. I immediately turned to the sound and saw that the left hinge of the laptop was broken...",
1660,2022-11-05 23:11:16,2022-11-21 16:32:36,3211818,_Kieran_,https://h30434.www3.hp.com/t5/user/viewprofilepage/user-id/3211818,0,1660,7325989,2019-12-02 13:58:00,https://h30434.www3.hp.com/t5/Notebook-Hardware-and-Upgrade-Questions/HP-Notebook-15-bw060sa-Hinge-broken-for-2nd-time/m-p/7325989?search-action-id=582347102715&search-result-uid=7325989,"I had an issue with a broken left hinge last year, it was still under warantee and it was repaired by PC World.  Now it has happened again, just over a year since the last hinge broke, o...","[""15-bw060sa"", ""Microsoft Windows 10 (64-bit)""]","I had an issue with a broken left hinge last year, it was still under warantee and it was repaired by PC World.  Now it has happened again, just over a year since the last hinge broke, o...",
1276,2022-11-05 23:10:24,2022-11-21 16:32:04,3361875,_mariam,https://h30434.www3.hp.com/t5/user/viewprofilepage/user-id/3361875,0,1276,7082607,2019-04-08 06:15:00,https://h30434.www3.hp.com/t5/Notebook-Hardware-and-Upgrade-Questions/Hinge-is-broken/m-p/7082607?search-action-id=582346882146&search-result-uid=7082607,"Hp stream laptop has a cracked hinge you could say. When opening the laptop the hinge comes out of place on the right, and the bottom of the hinge cracks open. The laptop has not been dropped and r...","[""hp stream 14""]","Hp stream laptop has a cracked hinge you could say. When opening the laptop the hinge comes out of place on the right, and the bottom of the hinge cracks open. The laptop has not been dropped and r...",
1331,2022-11-05 23:10:31,2022-11-21 16:32:05,3736078,_nm,https://h30434.www3.hp.com/t5/user/viewprofilepage/user-id/3736078,0,1331,7631345,2020-06-02 17:27:00,https://h30434.www3.hp.com/t5/Notebook-Hardware-and-Upgrade-Questions/Broken-hinge-is-separating-my-laptop-s-screen/m-p/7631345?search-action-id=582346889646&search-result-uid=7631345,"Several weeks ago I noticed that my laptop's lid was not closing right. The screen would separate during opening and closing so I stopped. Looking inside, I could see that the metal hinge itself w...","[""TPN W121""]","Several weeks ago I noticed that my laptop's lid was not closing right. The screen would separate during opening and closing so I stopped. Looking inside, I could see that the metal hinge itself w...","[{""username"": ""Damndufe"", ""hp_user_id"": ""4018094"", ""post_datetime"": ""2021-01-26""}]"
1540,2022-11-05 23:10:58,2022-11-21 16:32:26,3313043,_shreyyaaa_,https://h30434.www3.hp.com/t5/user/viewprofilepage/user-id/3313043,0,1540,7005993,2019-02-06 08:11:00,https://h30434.www3.hp.com/t5/Notebook-Video-Display-and-Touch/HP-Pavilion-15-bc008TX-hinges-are-broken/m-p/7005993?search-action-id=582346998204&search-result-uid=7005993,"Laptop hinges are broken, how should I solve this issue? Can this be fixed? How much would it cost me?","[""HP Pavilion 15-bc008tx""]","Laptop hinges are broken, how should I solve this issue? Can this be fixed? How much would it cost me?",
1585,2022-11-05 23:11:04,2022-11-21 16:32:28,5188742,13-ay0045au,https://h30434.www3.hp.com/t5/user/viewprofilepage/user-id/5188742,0,1585,8485160,2022-09-17 09:13:00,https://h30434.www3.hp.com/t5/Notebook-Hardware-and-Upgrade-Questions/Hindge-broken-and-caused-the-screen-to-crack/m-p/8485160?search-action-id=582347026220&search-result-uid=8485160,"The hinge broke while simply closing the laptop, and it cracked the screen. The laptop is getting on off normally. The touch is also working fine on some part of the screen. If I touch in other a...","[""HP ENVY x360 Laptop - 13-ay0045au"", ""Microsoft Windows 10 (64-bit)""]","The hinge broke while simply closing the laptop, and it cracked the screen. The laptop is getting on off normally. The touch is also working fine on some part of the screen. If I touch in other a...",
71413,2022-12-15 22:20:13,2022-12-15 22:20:13,5833585,13Legacy10,https://h30434.www3.hp.com/t5/user/viewprofilepage/user-id/5833585,0,72036,8563364,2022-12-12 08:56:00,https://h30434.www3.hp.com/t5/Notebook-Video-Display-and-Touch/Broken-Hinge-on-HP-Envy/m-p/8563364?search-action-id=589818548159&search-result-uid=8563364,"Like SO MANY others, my Envy has a broken hinge, a mere 2 weeks after the warranty expired.  I have used it incredibly lightly the entire time I've had it, so it's not an abuse issue.  I s...","[""HP ENVY x360 Convertible Laptop PC 13m-bd1000 (460Q3AV)"", ""Microsoft Windows 11""]","Like SO MANY others, my Envy has a broken hinge, a mere 2 weeks after the warranty expired.  I have used it incredibly lightly the entire time I've had it, so it's not an abuse issue.  I s...",
1413,2022-11-05 23:10:44,2023-03-30 03:21:05,4061282,17incher,https://h30434.www3.hp.com/t5/user/viewprofilepage/user-id/4061282,0,1413,7990178,2021-02-26 00:16:00,https://h30434.www3.hp.com/t5/Notebook-Video-Display-and-Touch/Broken-Hinges-Detached-Screen-Display-Won-t-Turn-On/m-p/7990178?search-action-id=582346923221&search-result-uid=7990178,"Overtime the hinges on my laptop started to separate, causing the computer corners to crack and eventually leading to the hinges to complete failure. The screen is now detached t...","[""hp notebook 17"", ""Microsoft Windows 10 (64-bit)""]","Overtime the hinges on my laptop started to separate, causing the computer corners to crack and eventually leading to the hinges to complete failure. The screen is now detached to t...","[{""username"": ""FORHEEM"", ""hp_user_id"": ""4897310"", ""post_datetime"": ""2022-03-13""}]"
